epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.8908571600914001,9.999999747378752e-05,0.44213375449180603,0.9520000219345093,0.13135071098804474
1,0.9782857298851013,9.999999747378752e-05,0.06133643537759781,0.9906666874885559,0.024592092260718346
2,0.9854285717010498,9.999999747378752e-05,0.043089572340250015,0.9973333477973938,0.01011913176625967
3,0.9922857284545898,9.999999747378752e-05,0.02208464965224266,0.9973333477973938,0.005278761498630047
4,0.9945714473724365,9.999999747378752e-05,0.015375090762972832,1.0,0.004056802485138178
5,0.99657142162323,9.999999747378752e-05,0.01385965384542942,0.9986666440963745,0.004904408007860184
6,0.9980000257492065,9.999999747378752e-05,0.009994103573262691,0.9973333477973938,0.004962192382663488
7,0.9977142810821533,9.999999747378752e-05,0.01059023942798376,1.0,0.0030767894349992275
8,0.9991428852081299,9.999999747378752e-05,0.008882198482751846,0.9986666440963745,0.0046023535542190075
9,0.9991428852081299,9.999999747378752e-05,0.005579058080911636,0.9986666440963745,0.0038078867364674807
